tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***18342,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,1546 BLOOR ST W,,,ON
***19472,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,5418 YONGE ST,,,ON
***21311,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,OPP,777 QUEEN ST W,,,ON
***25924,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,747 QUEEN ST E,,,ON
***53833,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,3042 DUNDAS ST W,,,ON
***74607,20161230,3,PARK ON PRIVATE PROPERTY,30,1638,,40 TURF GRASSWAY,,,ON
***49942,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1638,OPP,19 GRAND TRUNK CRES,,,ON
***65175,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,N/S,EGLINTON AVE W,E/O,OAKWOOD AVE,ON
***93985,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1638,NR,85 ROBINSON ST,,,ON
***18343,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,1588 BLOOR ST W,,,ON
***37303,20161230,3,PARK ON PRIVATE PROPERTY,30,1638,NR,1591 WESTON RD,,,ON
***48138,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,90 EASTDALE AVE,,,ON
***53164,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,1574 QUEEN ST W,,,ON
***57897,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,306 DUPONT ST,,,ON
***60902,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,559 MOUNT PLEASANT RD,,,ON
***60903,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,565 MOUNT PLEASANT RD,,,ON
***71710,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,924 BLOOR ST W,,,ON
***21431,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1639,NR,55 REDPATH AVE,,,ON
***84864,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1639,NR,2425 YONGE ST,,,ON
